DEPARTAMENTO,period,CANTIDAD
ICA,2020-03-01,2423
ICA,2020-04-01,1079
ICA,2020-05-01,1197
ICA,2020-06-01,1381
ICA,2020-07-01,1775
ICA,2020-08-01,2003
ICA,2020-09-01,2129
ICA,2020-10-01,2480
ICA,2020-11-01,2350
ICA,2020-12-01,2423
ICA,2021-01-01,2253
ICA,2021-02-01,1727
ICA,2021-03-01,2207
ICA,2021-04-01,2042
ICA,2021-05-01,2202
ICA,2021-06-01,2267
ICA,2021-07-01,2475
ICA,2021-08-01,2685
ICA,2021-09-01,2521
ICA,2021-10-01,2740
ICA,2021-11-01,2540
ICA,2021-12-01,2606
ICA,2022-01-01,2611
ICA,2022-02-01,2492
ICA,2022-03-01,2838
ICA,2022-04-01,2635
ICA,2022-05-01,2729
ICA,2022-06-01,2589
ICA,2022-07-01,2826
ICA,2022-08-01,2430
ICA,2022-09-01,2558
ICA,2022-10-01,2641
ICA,2022-11-01,2587
ICA,2022-12-01,2650
ICA,2023-01-01,2980
ICA,2023-02-01,2848
ICA,2023-03-01,3366
ICA,2023-04-01,3151
ICA,2023-05-01,3183
ICA,2023-06-01,3014
ICA,2023-07-01,3214
ICA,2023-08-01,2994
ICA,2023-09-01,2932
ICA,2023-10-01,3178
ICA,2023-11-01,2879
ICA,2023-12-01,2920
ICA,2024-01-01,2857
ICA,2024-02-01,2824
ICA,2024-03-01,2857
ICA,2024-04-01,2644
ICA,2024-05-01,2657
ICA,2024-06-01,2546
ICA,2024-07-01,2759
ICA,2024-08-01,2741
ICA,2024-09-01,2938
ICA,2024-10-01,2803
ICA,2024-11-01,2749
ICA,2024-12-01,2892
ICA,2025-01-01,3106
ICA,2025-02-01,2653
ICA,2025-03-01,3044
ICA,2025-04-01,2637
ICA,2025-05-01,2471
ICA,2025-06-01,2331
ICA,2025-07-01,2440
ICA,2025-08-01,2182
JUNIN,2019-01-01,2796
JUNIN,2019-02-01,2511
JUNIN,2019-03-01,2902
JUNIN,2019-04-01,2913
JUNIN,2019-05-01,2929
JUNIN,2019-06-01,2932
JUNIN,2019-07-01,2986
JUNIN,2019-08-01,3033
JUNIN,2019-09-01,3038
JUNIN,2019-10-01,3099
JUNIN,2019-11-01,3142
JUNIN,2019-12-01,3078
JUNIN,2020-01-01,3362
JUNIN,2020-02-01,3272
JUNIN,2020-03-01,2212
JUNIN,2020-04-01,1063
